# omega_b	omega_cdm	H0	ln10^{10}A_s	n_s	tau_reio	m_ncdm_decay_dr	log10Gamma_ncdm_decay_dr
0.021718852065410098	0.11751249871209525	67.60105544958566	2.984315531006319	0.9658000013293453	0.03685904945090328	0.033590740414508734	2.7082525694648503
0.022019132438259887	0.11696030178427914	67.89098328976327	3.0011663243777154	0.9743203532520576	0.03243801296474896	0.10124615736371784	3.8265760250474257
0.02235407467045397	0.11941299549140055	67.56629182939895	3.088475659571459	0.9524131228451984	0.08316734356478585	0.17086574338602467	4.227642478249033
0.022184331857164338	0.11928855812508674	68.43614793064384	3.0204239513302626	0.9918809890706864	0.053943241714927835	0.08846601238791849	3.8022330364196266
0.022561583536672508	0.11659152174915448	69.34265135735974	3.051108711311047	0.9575149692203497	0.07058021229620025	0.17062263622127632	4.804992648630681
0.023169364155177646	0.11839589202501329	68.59410278133825	3.0732046298599127	0.9644709560979692	0.06522331717577351	0.07263676606748531	3.7480962601736882
0.023386836932686155	0.11775028112218892	69.26062235423086	3.0203918094131508	0.9676290648064059	0.04264561349912694	0.06925532365927328	3.7319510555693647
0.022155440179358308	0.1141089741621108	69.3459204718419	3.116072710874558	0.9692489807640273	0.09526813095006798	0.11667856912270838	4.6894288247450255
0.02312996026762583	0.1158035403916778	70.55682101464251	3.105752929530868	0.9696359290253374	0.09636950718429733	0.009903706862936299	4.084519468355516
0.02276858351030485	0.11429681559671774	70.12253166759707	3.130018267298655	0.9834434029260521	0.10822932769821639	0.08611660693633838	2.0107295750562173
0.02158519205190294	0.12151296098395589	67.64007511293217	3.067829450633276	0.9655993140167073	0.06494143005011392	0.0005823496005311554	2.1018053182931755
0.02214065405316158	0.11713647131636022	68.90464264710845	3.088577188011229	0.9926845787012882	0.09304160455221364	0.09834297817123813	4.953404111612633
0.022511965770625374	0.11725841991532607	68.97013558633277	3.0478161714035066	0.9970432587485704	0.064185169875034	0.09387490459237008	5.189841469355901
0.02189456059330104	0.11875204648975281	67.69201104636397	2.9733690762335403	0.9554968674490493	0.030984559693475345	0.051375755088066216	3.490648432598952
0.023103717146048114	0.11968383237372167	68.66263953527506	3.049209217093567	0.9705213354134972	0.0684174222751657	0.13796638465238126	4.088227918211956
0.02236827948117391	0.11895807736028748	68.07732482159645	3.041675287738787	0.9736777312284773	0.04169681261588458	0.12289398580856828	5.1699550273087365
0.022262489284849144	0.119371146564479	67.90090265323902	3.0911005273582863	0.9711890604625126	0.0731548051458338	0.019914144454465897	3.2755043130473287
0.02278134527704737	0.11273262804757549	71.34676762105329	3.0779698871395276	0.9828576015500147	0.07545806489719813	0.027369731965640288	2.663298976113766
0.022769090590172476	0.11970568335329487	68.92180224850178	2.998912853243007	0.9628267155840684	0.02676905786141115	0.09764038056886543	2.323005953674787
0.02303898137060518	0.11813829672590456	69.43473745099658	3.086461009860816	0.9580426404497723	0.07714832706803987	0.1546898384260448	3.736926491872091
0.022380676205899296	0.11699380797462469	69.9169799248056	3.0239945031007482	0.9769882228114846	0.06330701099694727	0.017013095205878077	4.040344273679662
0.023145040027316162	0.11870848561658044	69.97102758927694	3.018589327448526	0.970380014503333	0.04624108639335774	0.037518847498520955	3.992979424077692
0.022409262424291775	0.1145160330459791	70.09475893756313	3.0324482877146623	0.964387259421078	0.05287923231801649	0.017154835287743628	3.317917054900925
0.022633294436793527	0.11537934128348701	70.34909474190835	3.015893094786683	0.979071330838419	0.057681120368003796	0.11182589953273397	3.1250532986185418
0.022460979030934712	0.11913572640936146	68.7121826020415	3.027900778532704	0.9418321346539514	0.037500384275642604	0.04228595383084993	3.1970191321779358
