# omega_b	omega_cdm	H0	ln10^{10}A_s	n_s	tau_reio	m_ncdm_lightest	log10Gamma_nu
0.02269139808262384	0.11786988209058183	69.47713426748464	3.1238869738374535	0.9852633344899704	0.09044625369321888	0.06332970087292836	3.0280810554912736
0.0220369013215034	0.12033082941524031	68.05282588969523	3.1175706318856267	0.9673599072267443	0.08202878867381014	0.05468462245595868	2.5539979975517455
0.0233354499260457	0.11881890019908384	69.01335397417677	2.9896048356089384	0.9743270468456736	0.03865079436096315	0.06091126782839239	2.853358668079344
0.0223714483249959	0.11605523119490328	69.27327520588695	3.1167087656633417	0.9758996687886097	0.07660514784808792	0.008868598494130901	2.8647064614862523
0.02342137341387916	0.11694381148996426	69.52734409628539	3.02456261723135	0.9774561632534892	0.04929095684651792	0.1024102376603043	3.931169857940391
0.02234474428954455	0.11793347698986163	67.206361847729	3.111036493394117	0.9612880940256139	0.09300346723903209	0.03396682005370571	5.18513231521703
0.022728971982084692	0.1153259844059381	68.8179926748882	3.1511091340943334	0.9881207354191478	0.11747905766734022	0.07535660179482137	4.112320413064473
0.02291224075571431	0.11486564010426446	70.38993187401682	3.0419643885834584	0.9774726053822206	0.06861693270050326	0.05673589427887058	5.028827869229241
0.023657829467589535	0.11669064223905959	70.20924628513663	3.0313486369772815	0.9759924686451659	0.05349824103919217	0.012302543267534577	4.392178721132015
0.02179099870789536	0.1198116000198696	67.5498300465188	2.960883514558596	0.9757498443976047	0.023423401196924896	0.03181506171932716	3.5906089935375975
0.022185749490448096	0.11755702511087913	68.27297919828146	3.02187759608554	0.9722266010921814	0.07140436361179078	0.03121650150201727	3.238586505372155
0.02291778897500599	0.11914562452501633	67.91006637542134	3.041132827563352	0.9871233841142968	0.056198233042209035	0.0009100823283572217	5.287306367267554
0.022104334486799663	0.11711646383872124	68.70873537278224	3.0389358936622197	0.9875573477252412	0.047601641326448375	0.04490218244596141	2.9848126677468625
0.022306276635967497	0.11931299873919425	68.37184715531414	2.9710655847872696	0.968312072555023	0.02187646249125385	0.11577253521883908	4.035655488109027
0.021885388116929867	0.11741032366479298	68.54974274605206	3.109123630583858	0.9722764628447353	0.0765171076156575	0.018862566037617056	2.65431026685053
0.023071520914422137	0.11677964329618538	68.97779379420514	3.0129657792764606	0.9547016437360671	0.04942597876492448	0.059255143882846355	3.8405579040706233
0.022308441212611343	0.11605034673720059	69.46392272081273	3.0834767444042375	0.9775342649242308	0.082651336434728	0.10887009556853063	4.12012453889762
